Geonames	Waterbody Name	 Number of Stations	Is drinking water	Cyanobacteria exposure category	CyAN object ID	centroid latitude	centroid longitude	area (km2)	elevation (m)	CyAN data	COEPHT data	Cells present	toxins tested	toxins detected	zipcode adjacent	is recreation	zipcode water source	Notes	More information
https://www.geonames.org/5577969/hertha-reservoir.html	Hertha Reservoir	1				40.31923	-105.16542			Y		Y							
https://www.geonames.org/5578016/highland-reservoir-number-2.html	Highland Reservoir Number 2	1		chronic		40.25177	-105.14404			Y	N	Y	N		80513 - maybe	Yes			https://lakemonster.com/lake/-COLORADO-/Highland-Reservoir-Number-2-4137
https://www.geonames.org/5425054/highline-lake.html	Highline Lake	1				39.27465	-108.83974			Y	Y	Y	Y	N				toxins tested and not detected in one year	
https://www.geonames.org/5425224/holbrook-reservoir.html	Holbrook Reservoir	2		chronic	1477765	38.06334149	-103.610183	2.22	1269.2	Y	Y	Y	N			Yes			https://coloradobirdingtrail.com/site/holbrook-reservoir-swa/
https://www.geonames.org/5425237/holita-reservoir.html	Holita Reservoir	1		chronic		37.65973	-104.74153			Y	N	Y	N			Unclear			
https://www.geonames.org/5425242/hollenbeck-reservoir-number-two.html	Hollenbeck Reservoir Number 2	1				39.01644	-108.13536			Y		Y							
https://www.geonames.org/5425308/homestake-reservoir.html	Homestake Reservoir	3	Yes		991959	39.35789534	-106.467996	1.35	3128.96	Y		Y							
https://www.geonames.org/5425482/horse-creek-reservoir.html	Horse Creek Reservoir	4		chronic		38.17615	-103.40098			Y	N	Y	N			Yes		aka timber Lake	https://cpw.state.co.us/swa/Horse%20Creek%20Reservoir%20SWA%20(Timber%20Lake)
https://www.geonames.org/5578151/horseshoe-lake.html	Horseshoe Lake	1				40.43954	-105.05634			Y		Y							
https://www.geonames.org/5425573/horseshoe-lake-reservoir.html	Horseshoe Lake Reservoir	Horseshoe Lake Reservoir				37.60831	-104.84646			Y	Y	Y	Y	N				aka Horseshoe Reservoir; toxins tested in two years and not detected	
https://www.geonames.org/5578164/horsetooth-reservoir.html	Horsetooth Reservoir	6	Yes		3002077	40.55826541	-105.159478	7.36	1645.11	Y	Y	Y	Y						
https://www.geonames.org/5578177/hourglass-reservoir.html	Hourglass Reservoir	1				40.57932	-105.63193			Y		Y							
https://www.geonames.org/5578306/indian-creek-reservoir.html	Indian Creek Reservoir	1		chronic		40.74851	-104.95481			Y	N	Y	N			Yes			
https://www.geonames.org/5578377/ish-reservoir.html	Ish Reservoir	1		chronic	6811866	40.25776	-105.09111			Y	N	Y	N		80513 - maybe	No			https://coloradobirdingtrail.com/site/ish-reservoir/
https://www.geonames.org/5426248/island-lake.html	Island Lake	1				39.0376	-107.99873			N	Y	Y	Y	N				toxins tested and not detected in one year	
